TITLE = "2D Mesh" 
VARIABLES = "X", "Y", "Z", "F"
ZONE I=4 J=4 K=4 DATAPACKING=POINT 
0 0 0 0.4
0 0 1 0.1
0 0 2 0.2
0 0 3 0.3
0 1 0 0.21
0 1 1 0.5
0 1 2 0.6
0 1 3 0.7
0 2 0 0.8
0 2 1 0.9
0 2 2 1.0
0 2 3 0.11
0 3 0 0.12
0 3 1 0.13
0 3 2 0.14
0 3 3 0.15
1 0 0 0.0
1 0 1 0.17
1 0 2 0.18
1 0 3 0.19
1 1 0 0.16
1 1 1 0.22
1 1 2 0.23
1 1 3 0.24
1 2 0 0.25
1 2 1 0.26
1 2 2 0.27
1 2 3 0.28
1 3 0 0.29
1 3 1 0.31
1 3 2 0.32
1 3 3 0.33
2 0 0 0.34
2 0 1 0.35
2 0 2 0.36
2 0 3 0.37
2 1 0 0.38
2 1 1 0.39
2 1 2 0.41
2 1 3 0.42
2 2 0 0.43
2 2 1 0.44
2 2 2 0.45
2 2 3 0.46
2 3 0 0.47
2 3 1 0.48
2 3 2 0.49
2 3 3 0.51
3 0 0 0.52
3 0 1 0.53
3 0 2 0.54
3 0 3 0.55
3 1 0 0.56
3 1 1 0.57
3 1 2 0.58
3 1 3 0.59
3 2 0 0.61
3 2 1 0.62
3 2 2 0.63
3 2 3 0.64
3 3 0 0.65
3 3 1 0.66
3 3 2 0.67
3 3 3 0.68
