TITLE = "2D Mesh" 
VARIABLES = "X", "Y", "Z", "F"
ZONE I=4 J=4 K=4 DATAPACKING=POINT 
0 0 0 0
0 0 1 0
0 0 2 0
0 0 3 0
0 1 0 1
0 1 1 1
0 1 2 1
0 1 3 1
0 2 0 2
0 2 1 2
0 2 2 2
0 2 3 2
0 3 0 3
0 3 1 3
0 3 2 3
0 3 3 3
1 0 0 4
1 0 1 4
1 0 2 4
1 0 3 4
1 1 0 5
1 1 1 5
1 1 2 5
1 1 3 5
1 2 0 6
1 2 1 6
1 2 2 6
1 2 3 6
1 3 0 7
1 3 1 7
1 3 2 7
1 3 3 7
2 0 0 8
2 0 1 8
2 0 2 8
2 0 3 8
2 1 0 9
2 1 1 9
2 1 2 9
2 1 3 9
2 2 0 10
2 2 1 10
2 2 2 10
2 2 3 10
2 3 0 11
2 3 1 11
2 3 2 11
2 3 3 11
3 0 0 12
3 0 1 12
3 0 2 12
3 0 3 12
3 1 0 13
3 1 1 13
3 1 2 13
3 1 3 13
3 2 0 14
3 2 1 14
3 2 2 14
3 2 3 14
3 3 0 15
3 3 1 15
3 3 2 15
3 3 3 15
